iter	RMSE
0	129.8021808
1	127.0023474
2	124.0980068
3	121.8068016
4	119.3981835
5	117.3387003
6	115.5018262
7	113.808869
8	112.2713268
9	110.8924123
10	109.6286647
11	108.4498538
12	107.3237734
13	106.2793427
14	105.3352231
15	104.3868459
16	103.6248668
17	102.8330491
18	102.1297405
19	101.4721809
20	100.8661774
21	100.2302964
22	99.7237615
23	99.19080005
24	98.72264692
25	98.30074166
26	97.86347469
27	97.48557078
28	97.0755215
29	96.68224338
30	96.32942508
31	96.03912436
32	95.76970903
33	95.49646271
34	95.30077678
35	95.0279423
36	94.76018971
37	94.52968929
38	94.32017433
39	94.13385941
40	93.91001147
41	93.70614494
42	93.52247947
43	93.48474934
44	93.27169053
45	93.12999004
46	93.10546408
47	93.0808807
48	92.93276272
49	92.89990947
50	92.72160012
51	92.5872534
52	92.42608932
53	92.27243648
54	92.23882431
55	92.05887452
56	91.91876664
57	91.84900239
58	91.74625251
59	91.62587924
60	91.45476294
61	91.42742549
62	91.31242912
63	91.22685685
64	91.09744498
65	90.97561092
66	90.87424748
67	90.84575176
68	90.82711652
69	90.67627805
70	90.47559285
71	90.37566703
72	90.27296939
73	90.14929567
74	90.02869777
75	89.86244086
76	89.84130671
77	89.73369631
78	89.70717295
79	89.60934281
80	89.48579991
81	89.34054755
82	89.23104631
83	89.15332801
84	89.1321991
85	89.10365275
86	89.02784746
87	88.8841089
88	88.80235366
89	88.73942626
90	88.6335992
91	88.55676318
92	88.48953938
93	88.45440457
94	88.36236317
95	88.27470223
96	88.16488337
97	88.10141597
98	87.98483357
99	87.91042209
100	87.83196714
101	87.78388354
102	87.69739842
103	87.57467357
104	87.52845505
105	87.454275
106	87.399046
107	87.32535661
108	87.24566164
109	87.22019899
110	87.10556891
111	87.07469718
112	87.05197565
113	86.97810848
114	86.88663524
115	86.81601398
116	86.78213291
117	86.70509578
118	86.59997867
119	86.52462447
120	86.47628157
121	86.44533136
122	86.35245512
123	86.28836427
124	86.26867515
125	86.23995972
126	86.21738044
127	86.15405122
128	86.04195664
129	85.96642553
130	85.88388435
131	85.80824317
132	85.78760066
133	85.702582
134	85.63228757
135	85.57646772
136	85.55648
137	85.48777776
138	85.41642764
139	85.36800992
140	85.34695027
141	85.26524666
142	85.23172725
143	85.17417616
144	85.11647205
145	85.0530729
146	84.96089218
147	84.89644229
148	84.82488677
149	84.73461206
150	84.57524112
151	84.50075058
152	84.40848507
153	84.38898794
154	84.30628684
155	84.2814121
156	84.24798437
157	84.19995762
158	84.13593987
159	84.0446347
160	83.98638043
161	83.96494481
162	83.89412482
163	83.88215092
164	83.83640774
165	83.766311
166	83.74332941
167	83.72233365
168	83.60530101
169	83.55527118
170	83.5319437
171	83.47055043
172	83.44444937
173	83.32546507
174	83.29238767
175	83.21562738
176	83.14289515
177	83.12018664
178	83.10663132
179	83.09105166
180	83.03208359
181	83.02204972
182	82.92412827
183	82.86895364
184	82.76900783
185	82.75076108
186	82.68523609
187	82.57952252
188	82.52659128
189	82.46959203
190	82.39383543
191	82.38078506
192	82.32997456
193	82.31979637
194	82.22196088
195	82.17570177
196	82.16584344
197	82.10907484
198	82.03247024
199	82.01891135
200	81.96174183
201	81.90916874
202	81.84436231
203	81.78481676
204	81.72964367
205	81.65462767
206	81.59930991
207	81.58659357
208	81.52338639
209	81.46258473
210	81.41180685
211	81.37655632
212	81.33623288
213	81.28156788
214	81.27292473
215	81.2224714
216	81.16585671
217	81.09133881
218	81.03866241
219	81.03018131
220	80.99287219
221	80.93861133
222	80.89208882
223	80.83535697
224	80.73685057
225	80.72088891
226	80.64682623
227	80.59160891
228	80.58367473
229	80.52639278
230	80.47552949
231	80.36554973
232	80.30925918
233	80.27341846
234	80.26671159
235	80.21375217
236	80.17721224
237	80.12056372
238	80.03922415
239	80.03178793
240	79.97967476
241	79.93163349
242	79.86852492
243	79.82900149
244	79.78894066
245	79.72609962
246	79.67798956
247	79.67077716
248	79.63547578
249	79.59393791
250	79.50193341
251	79.46680315
252	79.45988416
253	79.41811783
254	79.36730278
255	79.32375789
256	79.2602375
257	79.20948154
258	79.16264685
259	79.1214991
260	79.02389176
261	78.98252612
262	78.93705011
263	78.8882873
264	78.88244759
265	78.84517376
266	78.75910442
267	78.71255695
268	78.67195389
269	78.62930317
270	78.59048226
271	78.54296611
272	78.50211301
273	78.43718069
274	78.33432084
275	78.32715044
276	78.28144925
277	78.24666182
278	78.20125511
