iter	Passed	Remaining
0	48	48161
1	72	36075
2	97	32362
3	147	36748
4	172	34380
5	197	32693
6	219	31086
7	239	29733
8	261	28778
9	281	27844
10	299	26933
11	316	26091
12	337	25592
13	358	25274
14	389	25573
15	410	25257
16	441	25507
17	473	25841
18	493	25474
19	511	25060
20	533	24885
21	558	24815
22	592	25186
23	623	25367
24	658	25687
25	689	25818
26	710	25617
27	731	25408
28	752	25183
29	772	24983
30	812	25406
31	834	25243
32	854	25032
33	873	24813
34	893	24636
35	912	24442
36	932	24273
37	953	24135
38	996	24547
39	1015	24381
40	1034	24199
41	1058	24147
42	1079	24026
43	1098	23873
44	1118	23738
45	1141	23681
46	1162	23573
47	1186	23526
48	1216	23610
49	1252	23806
50	1304	24280
51	1335	24347
52	1356	24246
53	1376	24114
54	1395	23970
55	1415	23867
56	1433	23719
57	1451	23576
58	1469	23432
59	1489	23343
60	1510	23244
61	1530	23160
62	1550	23056
63	1569	22949
64	1587	22836
65	1606	22738
66	1638	22811
67	1658	22729
68	1688	22777
69	1765	23454
70	1817	23783
71	1845	23791
72	1888	23984
73	1917	23989
74	1935	23874
75	1951	23728
76	1978	23711
77	1994	23580
78	2022	23574
79	2038	23439
80	2054	23305
81	2080	23287
82	2108	23292
83	2147	23420
84	2179	23458
85	2202	23404
86	2231	23412
87	2262	23444
88	2282	23361
89	2301	23273
90	2321	23186
91	2355	23249
92	2375	23163
93	2395	23088
94	2412	22984
95	2429	22878
96	2445	22763
97	2461	22657
98	2479	22564
99	2495	22455
100	2524	22474
101	2545	22410
102	2561	22311
103	2578	22210
104	2595	22123
105	2634	22222
106	2653	22145
107	2671	22065
108	2704	22106
109	2739	22162
110	2759	22102
111	2800	22204
112	2843	22317
113	2873	22332
114	2891	22250
115	2907	22157
116	2935	22155
117	2967	22181
118	2997	22191
119	3028	22212
120	3071	22310
121	3089	22235
122	3109	22169
123	3127	22096
124	3146	22026
125	3166	21961
126	3184	21892
127	3204	21828
128	3225	21778
129	3258	21805
130	3279	21751
131	3299	21698
132	3358	21894
133	3380	21847
134	3409	21848
135	3428	21782
136	3466	21839
137	3493	21824
138	3512	21755
139	3529	21680
140	3546	21607
141	3564	21536
142	3594	21542
143	3624	21547
144	3645	21494
145	3697	21629
146	3727	21630
147	3760	21647
148	3780	21590
149	3800	21535
150	3831	21542
151	3850	21482
152	3869	21422
153	3887	21353
154	3918	21363
155	3939	21311
156	3959	21258
157	3978	21200
158	3996	21141
159	4016	21084
160	4036	21034
161	4064	21026
162	4079	20948
163	4093	20868
164	4110	20799
165	4170	20952
166	4192	20913
167	4211	20855
168	4231	20807
169	4250	20751
170	4268	20693
171	4299	20695
172	4318	20645
173	4349	20648
174	4379	20647
175	4398	20592
176	4416	20536
177	4434	20479
178	4451	20418
179	4469	20359
180	4487	20306
181	4503	20241
182	4521	20186
183	4539	20131
184	4558	20083
185	4576	20027
186	4606	20028
187	4626	19982
188	4644	19929
189	4662	19875
190	4683	19837
191	4706	19805
192	4725	19759
193	4743	19709
194	4762	19660
195	4780	19610
196	4796	19551
197	4815	19504
198	4838	19474
199	4855	19421
200	4885	19418
201	4903	19370
202	4919	19313
203	4935	19259
204	4953	19208
205	5000	19275
206	5022	19240
